Coordinates,Attribute1,Attribute2,Metadata_1,Metadata_2,Metadata_3,Metadata_4,Metadata_5,File
"((5, 1), (5, 2))",58,193.3793103448276,500,2,2000,2,30501040301020201040302030404050504020402020406040605030405060501060301060304030402020403010401030,board_n_166.txt
"((5, 4), (6, 4))",42,162.04761904761907,500,2,2000,2,30501040301020201040302030404050504020402020406040605030405060501060301060304030402020403010401030,board_n_166.txt
"((3, 2), (4, 2))",225,164.4895238095239,500,2,2000,2,50602060104020104030204040505060503020606010205040506060505010603010106030503060406030504020203060,board_n_1847.txt
"((4, 1), (4, 2))",1099,292.97351127287425,500,2,2000,2,50602060104020104030204040505060503020606010205040506060505010603010106030503060406030504020203060,board_n_1847.txt
"((4, 2), (5, 2))",455,191.02438513867105,500,2,2000,2,50602060104020104030204040505060503020606010205040506060505010603010106030503060406030504020203060,board_n_1847.txt
"((5, 1), (5, 2))",221,163.69532428355956,500,2,2000,2,50602060104020104030204040505060503020606010205040506060505010603010106030503060406030504020203060,board_n_1847.txt
"((0, 1), (1, 1))",35,165.42857142857142,500,2,2000,2,40602040301020605050302040601060105060402030604050301010605060201040602030401040602020206040501050,board_n_2396.txt
"((1, 0), (1, 1))",101,258.9207920792078,500,2,2000,2,40602040301020605050302040601060105060402030604050301010605060201040602030401040602020206040501050,board_n_2396.txt
"((1, 2), (1, 3))",1509,421.3636277572663,500,2,2000,2,40602040301020605050302040601060105060402030604050301010605060201040602030401040602020206040501050,board_n_2396.txt
"((1, 3), (2, 3))",62,220.33870967741936,500,2,2000,2,40602040301020605050302040601060105060402030604050301010605060201040602030401040602020206040501050,board_n_2396.txt
"((3, 1), (4, 1))",75,237.25333333333333,500,2,2000,2,40602040301020605050302040601060105060402030604050301010605060201040602030401040602020206040501050,board_n_2396.txt
"((3, 4), (4, 4))",65,225.95384615384614,500,2,2000,2,40602040301020605050302040601060105060402030604050301010605060201040602030401040602020206040501050,board_n_2396.txt
"((3, 5), (4, 5))",34,161.76470588235293,500,2,2000,2,40602040301020605050302040601060105060402030604050301010605060201040602030401040602020206040501050,board_n_2396.txt
"((4, 0), (4, 1))",41,181.609756097561,500,2,2000,2,40602040301020605050302040601060105060402030604050301010605060201040602030401040602020206040501050,board_n_2396.txt
"((4, 1), (4, 2))",29,142.75862068965512,500,2,2000,2,40602040301020605050302040601060105060402030604050301010605060201040602030401040602020206040501050,board_n_2396.txt
